,lake.id,year,Bd.Status,Zscore,longitude,latitude
1,10206,2005,1,21.43608,-118.542739283411,37.0691870241098
2,10206,2005,1,31.05848,-118.542739283411,37.0868761755396
3,10206,2005,0,0,-118.542739283411,37.0834827502848
4,10206,2005,0,0,-118.542739283411,37.0843730881544
5,10206,2005,1,59.95272,-118.542739283411,37.0793920423407
6,10206,2005,1,1.439816,-118.542739283411,37.0797508757156
7,10206,2005,1,6.995504,-118.542739283411,37.075255136792
8,10206,2005,1,29.086,-118.542739283411,37.074166582979
9,10206,2005,1,12.2032,-118.542739283411,37.075603449514
10,10206,2005,0,0,-118.542739283411,37.074050345451
11,10206,2005,1,34.73936,-118.542739283411,37.0707187444426
12,10206,2005,1,51.56,-118.542739283411,37.0705716326026
13,10206,2005,1,18.84536,-118.542739283411,37.0696665695507
14,10206,2005,1,86.96,-118.542739283411,37.0730245598411
15,10206,2005,0,0,-118.542739283411,37.0724433159826
16,10206,2005,1,2.570512,-118.542739283411,37.071384292323
17,10206,2005,0,0,-118.542739283411,37.0717695217286
18,10206,2005,1,27.58216,-118.542739283411,37.0717266954828
19,10206,2005,0,0,-118.542739283411,37.0747490609203
20,10206,2005,1,28.46536,-118.542739283411,37.074950720706
21,10206,2005,0,0,-118.542739283411,37.0761474383724
22,10206,2005,1,36.09088,-118.542739283411,37.0764228387339
23,10206,2005,0,0,-118.542739283411,37.0766654872683
24,10206,2005,0,0,-118.542739283411,37.0771657491692
25,10206,2005,0,0,-118.542739283411,37.0777731158118
26,10206,2006,0,0,-118.542739283411,37.0781118834084
27,10206,2006,0,0,-118.542739283411,37.0791696928257
28,10206,2006,0,0,-118.542739283411,37.0814781519773
29,10206,2006,0,0,-118.542739283411,37.0824070617651
30,10206,2006,0,0,-118.542739283411,37.0802497023803
31,10206,2006,0,0,-118.542739283411,37.0810377242827
32,10206,2006,0,0,-118.542739283411,37.0813904958167
33,10206,2006,0,0,-118.542739283411,37.0817394820467
34,10206,2006,0,0,-118.542739283411,37.0823407148868
35,10206,2006,0,0,-118.542739283411,37.0849145295083
36,10206,2006,0,0,-118.542739283411,37.0838465619779
37,10206,2006,1,4.955944,-118.542739283411,37.0709545082019
38,10206,2006,0,0,-118.542739283411,37.0787206404557
39,10206,2006,0,0,-118.542739283411,37.0837228092123
40,10206,2006,0,0,-118.542739283411,37.0780974338063
41,10206,2006,0,0,-118.542739283411,37.0837043995807
42,10206,2006,0,0,-118.542739283411,37.080845650127
43,10206,2006,0,0,-118.542739283411,36.641929401274
44,10206,2006,1,0.231708,-118.542739283411,36.6447241941833
45,10206,2006,0,0,-118.542739283411,36.6461297127368
46,10222,2005,0,0,-118.535596562999,36.6470382273574
47,10222,2005,0,0,-118.535596562999,36.6494419874707
48,10222,2005,0,0,-118.535596562999,36.650160677915
49,10222,2005,0,0,-118.535596562999,36.6526032760651
50,10222,2005,0,0,-118.535596562999,36.6504682157776
51,10222,2005,0,0,-118.535596562999,36.6407103694071
52,10222,2005,0,0,-118.535596562999,36.6399943300079
53,10222,2005,0,0,-118.535596562999,36.6390375699517
54,10222,2005,0,0,-118.535596562999,36.8351582710404
55,10222,2005,0,0,-118.535596562999,36.8304716093819
56,10222,2005,0,0,-118.535596562999,36.8266997389551
57,10222,2005,0,0,-118.535596562999,36.826470408839
58,10222,2005,0,0,-118.535596562999,36.824061220041
59,10222,2005,0,0,-118.535596562999,36.8240868726756
60,10222,2005,0,0,-118.535596562999,36.8235422774311
61,10222,2005,0,0,-118.535596562999,36.8258825854484
62,10222,2005,0,0,-118.535596562999,36.8197643845251
63,10222,2005,0,0,-118.535596562999,36.8183092050713
64,10222,2005,0,0,-118.535596562999,36.8154829255023
65,10222,2005,0,0,-118.535596562999,36.8155169047148
66,10222,2005,0,0,-118.535596562999,36.8146480168605
67,10222,2005,0,0,-118.535596562999,36.8146647160732
68,10222,2005,0,0,-118.535596562999,36.8120275739785
69,10222,2005,0,0,-118.535596562999,36.8109112368529
70,10222,2005,0,0,-118.535596562999,36.8094506426235
71,10222,2005,0,0,-118.535596562999,36.8087875628899
72,10222,2005,0,0,-118.535596562999,36.8075605536388
73,10222,2005,0,0,-118.535596562999,36.8060039370846
74,10222,2005,0,0,-118.535596562999,36.8031394916924
75,10222,2005,0,0,-118.535596562999,36.799420466743
76,10222,2005,0,0,-118.535596562999,36.8066572479418
77,10222,2005,0,0,-118.535596562999,36.8085855841708
78,10222,2005,0,0,-118.535596562999,36.813321746061
79,10222,2005,0,0,-118.535596562999,36.8160910650113
80,10222,2005,0,0,-118.535596562999,36.8179576630834
81,10222,2005,0,0,-118.535596562999,36.8122230542263
82,10222,2005,0,0,-118.535596562999,36.8129284788274
83,10222,2005,0,0,-118.535596562999,36.8145670844784
84,10222,2005,0,0,-118.535596562999,36.8145782096478
85,10222,2005,0,0,-118.535596562999,36.8175026222951
86,10222,2005,0,0,-118.535596562999,36.8204342124627
87,10222,2005,0,0,-118.535596562999,36.8217493122289
88,10222,2005,0,0,-118.535596562999,36.8218450846735
89,10222,2005,0,0,-118.535596562999,36.8224006510817
90,10222,2005,0,0,-118.535596562999,36.8231861466055
91,10222,2005,0,0,-118.535596562999,36.8248461718573
92,10222,2005,0,0,-118.535596562999,36.8258231126054
93,10222,2005,0,0,-118.535596562999,36.8236175785207
94,10222,2006,0,0,-118.535596562999,36.8271862384502
95,10222,2006,0,0,-118.535596562999,36.8279791293317
96,10222,2006,0,0,-118.535596562999,36.8284695241994
97,10222,2006,0,0,-118.535596562999,36.8272671826658
