"","precip","tmin","tmean","tmax"
"precip",1,-0.159595474600792,-0.274511635303497,-0.371742337942123
"tmin",-0.159595474600792,1,0.981008052825928,0.930378198623657
"tmean",-0.274511635303497,0.981008052825928,1,0.983802974224091
"tmax",-0.371742337942123,0.930378198623657,0.983802974224091,1
