"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,1178,115.721481062721,-2758.65574994724
"2","- Roads",1,1.33212552100304e-09,1179,115.721481064053,-2760.65574993346
"3","- HFP2009",1,0.0592814741188192,1180,115.780762538172,-2762.0427111571
"4","- bio4",1,0.0467991485719068,1181,115.827561686744,-2763.55897568006
"5","- dist.closest.wb",1,0.0836416550130537,1182,115.911203341757,-2764.69490733667
"6","- bio14",1,0.127685644731386,1183,116.038888986488,-2765.37703993987
