,HARU,LEAM,MYAX,MYME,PLPL,THAR,THSY,XIEL
HARU,0,0,5,5,2,0,0,0
LEAM,0,0,2,0,0,3,0,0
MYAX,5,0,0,9,1,18,0,1
MYME,5,0,7,0,0,8,0,1
PLPL,1,0,1,1,0,1,1,0
THAR,2,1,12,10,0,0,0,0
THSY,0,0,0,1,2,0,0,0
XIEL,0,0,0,0,0,0,0,0
